Continent,Country,HDIRank,HDI,Life Expectancy,Mean Years of Schooling,Gross national income (GNI) per capita,Life Expectancy At Birth Female,Life Expectancy At Birth Male,Mean Years Of Schooling Female,Mean Years Of Schooling Male,Estimated Gross Nationa Income Per CapitaFemale,Estimated Gross Nationa Income Per Capita Male,Share Of Seats In Parliament Women,Population Secondary Education Female,Population Secondary Education Male,Total Population,Population Under Age 5,Population Age 15-64,Population Ages 65 and older (millions) 2015,Population Median Age,Mortality Rates Infant,Mortality Rates Under-five,Deaths Due To Tuberculosis,Physicians,Public Health Expenditure,Employment To Population Ratio,Labour Force Participation Rate,Total Unemployment,Mandatory Paid Maternity Leave ,Internet Users
Africa,Sierra Leone,179,0.42,51.3,3.3,1529,51.9,50.8,2.6,4.2,1354,1708,12.4,16.8,29.7,6.5,1,3.5,0.2,18.5,87.1,120.4,45,0.2,1.9,64.5,66.8,3.4,84,2.5
Africa,C™te d'Ivoire,171,0.474,51.9,5,3163,52.8,51.1,3.9,6.1,2136,4155,9.2,16.6,32.7,22.70000076,3.7,12.39999962,0.7,18.4,66.6,92.6,,1.4,1.7,60.6,67,9.5,98,21
South America,Brazil,79,0.754,74.7,7.8,14145,78.5,71,8.1,7.5,10672,17736,10.8,59.1,55.2,207.8000031,15,143.6999969,16.3,31.3,14.6,16.4,2.6,18.9,3.8,62.3,67.1,7.2,120,59.1
Asia,Georgia,70,0.769,75,12.2,8856,78.5,71.3,12.3,12.2,6105,11871,11.3,96.1,97.4,4,0.3,2.700000048,0.6,37.5,10.6,11.9,6.6,42.7,1.6,58.9,67.1,12.3,183,45.2
Africa,Kenya,146,0.555,62.2,6.3,2881,64.1,60.3,5.7,7,2357,3405,20.8,27.8,34.1,46.09999847,7.2,25.5,1.3,18.9,35.5,49.4,21,2,3.5,60.9,67.1,9.2,90,45.6
Asia,Singapore,5,0.925,83.2,11.6,78162,86.2,80.1,11.1,12.1,60787,96001,23.9,75.5,81.9,5.599999905,0.3,4.099999905,0.7,40,2.1,2.7,1,19.5,2.1,65,67.2,3.3,105,82.1
Asia,Indonesia,113,0.689,69.1,7.9,10053,71.2,67,7.4,8.5,6668,13391,17.1,42.9,51.7,257.6000061,24.9,172.8999939,13.3,28.4,22.8,27.2,41,2,1.1,63.4,67.4,5.8,90,22
Oceania,Solomon Islands,156,0.515,68.1,5.3,1561,69.6,66.7,,,1061,2045,2,,,0.600000024,0.1,0.300000012,0,19.9,23.6,28.1,13,2.2,4.6,43.9,67.4,34.8,84,10
Oceania,New Zealand,13,0.915,82,12.5,32870,83.7,80.3,12.6,12.5,24413,41718,31.4,98.8,98.7,4.5,0.3,2.900000095,0.7,38,4.7,5.7,0.1,27.4,9.1,63.6,67.6,5.9,112,88.2
Asia,Maldives,105,0.701,77,6.2,10383,78,76,6.2,6.3,7155,13591,5.9,34.3,30.9,0.400000006,0,0.200000003,0,26.4,7.4,8.6,2.3,14.2,10.8,59.9,68,11.8,60,54.5
Africa,Cabo Verde,122,0.648,73.5,4.8,6049,75.2,71.6,,,4030,8123,20.8,,,0.5,0.1,0.300000012,0,24.5,20.7,24.5,5.3,3.1,3.6,60.9,68.3,10.8,60,43
Africa,Angola,150,0.533,52.7,5,6291,54.2,51.2,,,5073,7527,36.8,,,25,4.7,12.5,0.6,16.1,96,156.9,52,1.7,2.1,63.2,68.4,7.6,90,12.4
Asia,Tajikistan,129,0.627,69.6,10.4,2601,73.4,66.3,9.6,11.2,2100,3088,14.7,98.1,88.2,8.5,1.2,5.300000191,0.3,22.5,38.5,44.8,3.3,19.2,2,61,68.5,10.9,140,19
South America,Colombia,95,0.727,74.2,7.6,12762,77.8,70.7,7.6,7.5,10215,15389,20.9,50.3,59.6,48.20000076,3.7,33.09999847,3.4,30,13.6,15.9,1.5,14.7,5.4,61.7,68.6,10,98,55.9
Europe,Switzerland,2,0.939,83.1,13.4,56364,85.1,81,13.3,13.5,46798,66116,28.9,96.1,97.4,8.300000191,0.4,5.599999905,1.5,42.3,3.4,3.9,0.1,40.5,7.7,65.7,68.7,4.3,98,88
Asia,Oman,52,0.796,77,8.1,34402,79.4,75.3,7.7,8.5,15703,43894,8.2,59.8,57.1,4.5,0.4,3.5,0.1,29,9.9,11.6,0.6,24.3,3.2,64.8,69.1,6.3,50,74.2
Asia,Bahrain,47,0.824,76.7,9.4,37236,77.8,75.9,9.4,9.4,25717,44303,15,61.6,55.6,1.399999976,0.1,1,0,30.3,5.3,6.2,0.4,9.2,3.2,68.3,69.2,1.2,60,93.5
Asia,Kuwait,51,0.8,74.5,7.3,76075,75.9,73.6,7.4,6.9,35164,107991,1.5,56.8,58.1,3.900000095,0.3,2.900000095,0.1,31,7.3,8.6,0.2,27,2.6,66.7,69.2,3.5,70,82.1
North America,Saint Lucia,92,0.735,75.2,9.3,9791,78,72.5,9.4,9.3,8033,11617,20.7,48.2,42,0.200000003,0,0.100000002,0,31.2,12.7,14.3,2.4,1.1,3.6,55.6,69.6,20.1,91,52.4
North America,Belize,103,0.706,70.1,10.5,7375,73.1,67.4,10.5,10.5,5360,9402,13.3,77.9,77.4,0.400000006,0,0.200000003,0,23.5,14.2,16.5,1.8,8.3,3.9,61.6,69.8,11.8,98,41.6
Africa,Congo,135,0.592,62.9,6.3,5503,64.4,61.4,5.5,6.7,4731,6274,11.5,45,50,4.599999905,0.8,2.5,0.2,18.7,33.2,45,46,1,4.2,64.8,69.8,7.2,105,7.6
Oceania,Papua New Guinea,154,0.516,62.8,4.3,2712,65,60.7,3.7,5.3,2362,3047,2.7,8.8,14.7,7.599999905,1,4.599999905,0.2,21.2,44.5,57.3,40,0.6,3.5,68.1,70.3,3.1,0,7.9
Asia,China,90,0.738,76,7.6,13345,77.5,74.5,7.2,7.9,10705,15830,23.6,69.8,79.4,1376,83.2,1000,131.4,37,9.2,10.7,2.8,19.4,3.1,67.6,70.9,4.6,128,50.3
Oceania,Vanuatu,134,0.597,72.1,6.8,2805,74.3,70.2,,,2139,3453,0,,,0.300000012,0,0.200000003,0,22.2,23.1,27.5,7.9,1.2,4.5,68,71,4.3,84,22.4
Africa,Dem. Rep. Congo,176,0.435,59.1,6.1,680,60.5,57.6,4,8.1,599,761,8.2,14.5,35,77.30000305,13.9,39.40000153,2.3,16.9,74.5,98.3,69,1.1,1.6,68.4,71.1,3.8,98,3.8
